Date,Price,Open,High,Low,Change %
"Dec 27, 2016",4.3633,4.257,4.4946,4.2413,2.5
"Dec 26, 2016",4.257,4.2991,4.4085,4.15,-0.98
"Dec 25, 2016",4.2991,4.431,4.4451,4.1,-2.98
"Dec 24, 2016",4.431,4.6161,4.684,4.31,-4.01
"Dec 23, 2016",4.6161,3.6742,4.6199,3.6044,25.64
"Dec 22, 2016",3.6742,3.632,3.7379,3.6175,1.16
"Dec 21, 2016",3.632,3.656,3.698,3.6023,-0.66
"Dec 20, 2016",3.656,3.6493,3.6599,3.6318,0.18
"Dec 19, 2016",3.6493,3.672,3.6887,3.6296,-0.62
"Dec 18, 2016",3.672,3.7195,3.7197,3.6685,-1.28
"Dec 17, 2016",3.7195,3.6,3.72,3.6,3.32
"Dec 16, 2016",3.6,3.65,3.65,3.6,-1.37
"Dec 15, 2016",3.65,3.6021,3.6587,3.5844,1.33
"Dec 14, 2016",3.6021,3.653,3.6592,3.5789,-1.39
"Dec 13, 2016",3.653,3.6386,3.67,3.6049,0.4
"Dec 12, 2016",3.6386,3.633,3.7017,3.6091,0.15
"Dec 11, 2016",3.633,3.6823,3.6823,3.6046,-1.34
"Dec 10, 2016",3.6823,3.6987,3.7,3.6305,-0.44
"Dec 09, 2016",3.6987,3.68,3.7101,3.6503,0.51
"Dec 08, 2016",3.68,3.6601,3.744,3.6501,0.54
"Dec 07, 2016",3.6601,3.52,3.6651,3.4635,3.98
"Dec 06, 2016",3.52,3.4783,3.5364,3.4353,1.2
"Dec 05, 2016",3.4783,3.9056,3.9095,3.0003,-10.94
"Dec 04, 2016",3.9056,3.91,3.9192,3.8713,-0.11
"Dec 03, 2016",3.91,3.9,3.9329,3.8862,0.26
"Dec 02, 2016",3.9,3.8777,3.952,3.8777,0.58
"Dec 01, 2016",3.8777,3.8809,3.9048,3.83,-0.08
"Nov 30, 2016",3.8809,3.8252,3.8824,3.7981,1.46
"Nov 29, 2016",3.8252,3.873,3.8826,3.7736,-1.23
"Nov 28, 2016",3.873,3.8231,3.8839,3.8004,1.31
"Nov 27, 2016",3.8231,3.83,3.8893,3.8231,-0.18
"Nov 26, 2016",3.83,3.9003,3.92,3.83,-1.8
"Nov 25, 2016",3.9003,3.8997,3.9003,3.8511,0.02
"Nov 24, 2016",3.8997,3.8609,3.91,3.8013,1
"Nov 23, 2016",3.8609,3.8991,3.9262,3.8353,-0.98
"Nov 22, 2016",3.8991,3.9476,3.962,3.8685,-1.23
"Nov 21, 2016",3.9476,3.89,3.9476,3.8795,1.48
"Nov 20, 2016",3.89,3.9569,3.98,3.8543,-1.69
"Nov 19, 2016",3.9569,3.909,3.9686,3.9005,1.23
